# Table 21: Historic Data (1995-1999): Book production: Number of titles by UDC classes
Country,Total,Total,Total,Total,Total,Generalities,Generalities,Generalities,Generalities,Generalities,"Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology",Social Sciences,Social Sciences,Social Sciences,Social Sciences,Social Sciences,Philology,Philology,Philology,Philology,Philology,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Literature,Literature,Literature,Literature,Literature,Geography / History,Geography / History,Geography / History,Geography / History,Geography / History
Iran (Islamic Republic of),13031,15073,10410,12020,14783,384,438,392,299,612,383,537,541,565,706,2834,3293,3112,3617,4504,972,1025,953,1325,1319,907,947,944,1307,1486,1021,1244,1388,1437,1844,1227,1787,1499,1790,2426,226,443,531,566,733,535,157,431,291,247,1189,576,619,823,906
Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Ireland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Israel,...,...,...,1969,...,...,...,...,43,...,...,...,...,71,...,...,...,...,130,...,...,...,...,439,...,...,...,...,59,...,...,...,...,221,...,...,...,...,181,...,...,...,...,30,...,...,...,...,630,...,...,...,...,165,...
Italy,34470,35236,36217,30835,32365,783,723,700,1030,603,2045,2146,2175,1804,2075,2041,2232,2444,2346,2338,6572,6698,6893,5577,6446,860,763,772,628,608,1265,1173,1036,909,1110,3663,3898,4271,3433,3537,3609,4264,4258,3518,3353,9225,8539,8644,7457,7826,4407,4800,5024,4133,4469
Jamaica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Japan,...,56221,...,...,...,...,1149,...,...,...,...,1791,...,...,...,...,1078,...,...,...,...,12770,...,...,...,...,1402,...,...,...,...,1363,...,...,...,...,12155,...,...,...,...,10046,...,...,...,...,11924,...,...,...,...,2543,...,...,...
Jordan,465,511,...,...,...,15,25,...,...,...,9,8,...,...,...,74,60,...,...,...,106,122,...,...,...,10,16,...,...,...,19,39,...,...,...,26,45,...,...,...,22,21,...,...,...,128,116,...,...,...,56,59,...,...,...
Kazakhstan,1115,1226,...,...,1223,65,53,...,...,52,12,22,...,...,13,17,23,...,...,21,339,464,...,...,579,50,44,...,...,40,44,58,...,...,89,197,202,...,...,173,31,39,...,...,18,291,253,...,...,166,69,68,...,...,72
Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Kiribati,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Kuwait,...,...,460,295,219,...,...,11,36,36,...,...,16,6,13,...,...,61,45,31,...,...,169,74,71,...,...,32,8,1,...,...,55,8,8,...,...,33,36,9,...,...,28,6,5,...,...,21,38,19,...,...,34,38,26
Kyrgyzstan,407,351,...,420,...,16,11,...,-,...,3,5,...,2,...,6,3,...,15,...,177,176,...,157,...,17,16,...,26,...,15,19,...,13,...,58,25,...,92,...,4,8,...,9,...,97,73,...,93,...,14,15,...,13,...
Lao People's Democratic Republic,88,...,...,...,...,-,...,...,...,...,-,...,...,...,...,2,...,...,...,...,41,...,...,...,...,6,...,...,...,...,6,...,...,...,...,9,...,...,...,...,2,...,...,...,...,15,...,...,...,...,7,...,...,...,...
Latvia,1968,1965,...,2093,2178,75,91,...,102,104,78,63,...,114,131,78,87,...,113,104,378,414,...,740,627,56,67,...,86,158,54,54,...,81,102,148,166,...,282,343,67,87,...,81,87,426,364,...,381,385,88,65,...,113,137
Lebanon,...,...,516,289,...,...,...,54,183,...,...,...,10,5,...,...,...,256,-,...,...,...,131,41,...,...,...,...,5,...,...,...,...,2,...,...,...,12,19,...,...,...,1,1,...,...,...,47,26,...,...,...,5,7,...
Lesotho,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Liberia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Libya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Liechtenstein,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Lithuania,3164,3645,3827,4109,4097,152,206,303,335,301,92,81,104,123,126,160,163,168,138,153,630,712,768,783,794,203,222,217,258,309,223,270,282,346,320,653,669,566,546,509,155,183,180,218,215,773,961,1064,1172,1151,123,178,175,190,219
Luxembourg,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Madagascar,131,119,108,...,...,3,1,7,...,...,3,3,-,...,...,32,25,26,...,...,44,22,36,...,...,2,2,-,...,...,2,4,2,...,...,13,36,21,...,...,4,6,5,...,...,19,18,8,...,...,9,2,3,...,...
Malawi,182,120,...,...,...,10,-,...,...,...,-,-,...,...,...,44,1,...,...,...,81,76,...,...,...,5,14,...,...,...,5,10,...,...,...,18,5,...,...,...,5,3,...,...,...,14,-,...,...,...,-,8,...,...,...
Malaysia,6465,5843,...,5816,5084,101,73,...,100,157,41,36,...,55,59,659,606,...,721,547,1259,1088,...,751,1058,748,1043,...,803,662,530,685,...,467,526,598,538,...,443,614,190,221,...,133,222,2053,1259,...,2160,998,286,294,...,183,241
Maldives,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Mali,14,...,...,33,...,1,...,...,23,...,-,...,...,...,...,-,...,...,...,...,1,...,...,...,...,-,...,...,...,...,-,...,...,...,...,1,...,...,5,...,-,...,...,...,...,11,...,...,5,...,-,...,...,...,...
Malta,404,...,...,237,...,4,...,...,5,...,6,...,...,3,...,78,...,...,40,...,159,...,...,65,...,8,...,...,10,...,4,...,...,-,...,13,...,...,6,...,28,...,...,11,...,47,...,...,46,...,57,...,...,51,...
Marshall Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Mauritania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Mauritius,64,80,...,55,...,4,1,...,10,...,1,4,...,-,...,3,4,...,5,...,20,14,...,12,...,6,4,...,6,...,1,1,...,-,...,4,6,...,2,...,2,6,...,2,...,18,32,...,5,...,5,8,...,13,...
Mexico,...,6183,...,6952,...,...,423,...,473,...,...,690,...,725,...,...,425,...,475,...,...,1894,...,2059,...,...,291,...,341,...,...,172,...,256,...,...,1093,...,1241,...,...,374,...,478,...,...,419,...,468,...,...,402,...,436,...
Micronesia (Federated States of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Monaco,...,...,52,29,72,...,...,13,4,14,...,...,1,1,1,...,...,3,3,10,...,...,9,8,14,...,...,...,...,...,...,...,3,1,11,...,...,2,...,1,...,...,13,10,18,...,...,2,1,1,...,...,6,1,2
Mongolia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Montenegro,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Montserrat,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Morocco,940,918,1339,894,386,275,33,37,41,25,8,13,28,9,3,58,45,82,90,34,273,359,549,377,151,12,12,15,21,5,9,13,67,16,1,37,135,175,75,33,24,107,142,21,12,134,136,141,150,75,110,65,103,94,47
Mozambique,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Myanmar,...,...,...,...,227,...,...,...,...,106,...,...,...,...,...,...,...,...,...,1,...,...,...,...,76,...,...,...,...,20,...,...,...,...,16,...,...,...,...,1,...,...,...,...,1,...,...,...,...,4,...,...,...,...,2
Namibia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Nauru,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Nepal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Netherlands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Netherlands Antilles,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
New Zealand,...,...,5088,5204,5405,...,...,173,132,182,...,...,64,58,50,...,...,104,140,119,...,...,1989,2034,2173,...,...,429,382,401,...,...,381,362,400,...,...,830,771,798,...,...,380,380,357,...,...,433,540,535,...,...,305,405,390
Nicaragua,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Niger,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Nigeria,1314,...,...,...,...,18,...,...,...,...,36,...,...,...,...,203,...,...,...,...,530,...,...,...,...,91,...,...,...,...,80,...,...,...,...,116,...,...,...,...,52,...,...,...,...,133,...,...,...,...,55,...,...,...,...
Niue,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Norway,7265,6900,6220,5068,4985,184,160,141,152,162,148,162,172,141,141,307,281,192,221,242,1010,1215,1084,858,814,111,138,120,96,69,218,288,266,170,143,644,707,613,597,556,413,384,322,355,315,3110,2831,2656,2146,2130,1120,734,654,332,413
Oman,...,7,...,136,12,...,-,...,18,-,...,-,...,2,1,...,4,...,24,5,...,-,...,15,-,...,-,...,3,-,...,-,...,27,-,...,1,...,...,1,...,-,...,4,5,...,1,...,34,-,...,1,...,9,-
Pakistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Palau,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Palestine,...,114,...,...,...,...,3,...,...,...,...,2,...,...,...,...,8,...,...,...,...,47,...,...,...,...,3,...,...,...,...,12,...,...,...,...,21,...,...,...,...,-,...,...,...,...,10,...,...,...,...,8,...,...,...
Panama,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Papua New Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Paraguay,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Peru,1294,612,1416,1942,...,49,44,30,42,...,29,24,26,26,...,56,25,92,85,...,453,266,702,862,...,74,13,25,200,...,79,27,47,173,...,134,66,134,107,...,106,11,42,63,...,167,97,224,273,...,147,39,94,111,...
Philippines,1229,927,546,958,1380,65,22,26,88,63,23,18,11,22,15,47,34,36,40,41,290,378,212,329,631,51,65,18,41,79,31,43,38,37,53,157,68,63,130,117,18,17,15,17,79,199,249,103,208,227,14,33,24,46,75
Poland,11925,14104,15996,16462,19192,238,265,231,621,676,382,456,417,496,589,900,1078,1078,944,1274,1885,2958,3147,3081,3829,670,616,623,621,823,1083,1291,1371,1319,1545,2210,2654,2951,2670,3304,575,678,844,803,1045,2895,2828,3798,4311,4176,1087,1280,1536,1596,1931
Portugal,...,7868,8331,2186,...,...,312,324,...,...,...,178,160,...,...,...,233,295,...,...,...,1207,2255,...,...,...,17,23,...,...,...,190,157,...,...,...,506,852,...,...,...,260,268,145,...,...,4554,3503,2041,...,...,411,494,...,...
Puerto Rico,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Qatar,419,209,...,...,...,21,9,...,...,...,5,3,...,...,...,70,26,...,...,...,84,88,...,...,...,36,7,...,...,...,120,19,...,...,...,40,27,...,...,...,5,6,...,...,...,16,12,...,...,...,22,12,...,...,...
Republic of Korea,35864,30487,...,...,...,1854,303,...,...,...,947,678,...,...,...,2146,1605,...,...,...,4300,3201,...,...,...,4421,1384,...,...,...,2692,359,...,...,...,4422,3513,...,...,...,6614,6543,...,...,...,6958,4164,...,...,...,1510,716,...,...,...
Republic of Moldova,1016,921,1097,1196,1166,41,52,53,67,181,19,9,12,27,23,48,22,23,38,22,385,456,281,267,320,37,21,75,21,44,47,27,103,94,76,272,165,242,250,215,19,15,21,45,25,109,124,224,313,177,39,30,63,74,83
Romania,5517,7199,6471,6231,7874,98,213,728,1398,925,237,275,246,149,207,231,301,386,233,357,650,913,886,902,943,323,431,383,352,24,643,989,867,759,761,1161,1485,1617,1907,1629,120,105,96,125,134,1804,2182,931,57,2466,250,305,331,349,428
Russian Federation,33623,36237,...,...,...,2968,3362,...,...,...,1038,1275,...,...,...,854,984,...,...,...,7719,8801,...,...,...,988,1171,...,...,...,2790,2869,...,...,...,6783,7003,...,...,...,685,664,...,...,...,7704,8493,...,...,...,2094,1615,...,...,...
Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saint Helena,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saint Kitts and Nevis,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saint Lucia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saint Vincent and the Grenadines,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Samoa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sao Tome and Principe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saudi Arabia,...,3900,3780,...,...,...,209,300,...,...,...,154,60,...,...,...,1042,850,...,...,...,620,310,...,...,...,250,180,...,...,...,404,270,...,...,...,363,440,...,...,...,128,132,...,...,...,421,710,...,...,...,309,528,...,...
Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Serbia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Seychelles,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sierra Leone,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Singapore,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Slovakia,...,3800,2064,4386,3153,...,72,39,107,69,...,129,64,177,123,...,248,111,291,264,...,753,515,1045,681,...,135,61,204,97,...,337,188,418,254,...,844,439,852,684,...,192,84,175,117,...,879,428,901,711,...,211,135,216,153
Slovenia,3194,3441,3647,3722,3450,72,82,83,85,78,119,123,135,159,163,123,135,124,147,157,623,659,706,672,740,117,123,115,121,...,295,319,333,320,242,461,620,624,654,671,400,438,460,521,137,763,680,761,770,929,221,262,306,273,333
Solomon Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Somalia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
South Africa,5418,...,...,...,...,136,...,...,...,...,33,...,...,...,...,516,...,...,...,...,1262,...,...,...,...,566,...,...,...,...,330,...,...,...,...,1002,...,...,...,...,156,...,...,...,...,1227,...,...,...,...,190,...,...,...,...
Spain,48467,46330,48713,55774,59174,1723,1504,1409,1381,1446,1761,1744,1807,2314,2455,1890,1941,1807,2032,1962,9423,9324,9147,9884,10899,1772,2102,2119,2164,2064,2790,3000,3196,3318,3245,6711,6907,7561,8352,8800,3574,3763,4063,4717,5032,14492,11695,13004,16455,18145,4331,4350,4600,5157,5126
Sri Lanka,3933,4115,...,2822,4655,350,338,...,328,426,29,29,...,71,368,306,28,...,312,533,2082,2505,...,639,1384,137,139,...,127,169,63,55,...,76,68,268,390,...,192,347,69,33,...,124,103,489,483,...,809,1110,140,115,...,144,147
Sudan (pre-secession),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Suriname,...,47,...,...,...,...,18,...,...,...,...,1,...,...,...,...,16,...,...,...,...,6,...,...,...,...,2,...,...,...,...,-,...,...,...,...,2,...,...,...,...,-,...,...,...,...,1,...,...,...,...,1,...,...,...
Swaziland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sweden,12700,13496,13220,12547,...,332,396,367,323,...,313,328,351,364,...,464,502,498,373,...,2429,2685,2562,2480,...,434,464,474,400,...,936,900,975,826,...,2823,3285,3222,2986,...,817,850,794,821,...,3104,2876,2901,2974,...,1048,1210,1076,1000,...
Switzerland,15771,15371,16241,13816,18273,272,296,315,212,336,702,639,803,620,825,736,737,835,748,1101,3770,3852,4165,3516,4885,223,230,269,203,306,1581,1396,1656,1491,1761,3427,3300,3564,3138,3862,1610,1731,1695,1442,1881,1759,1669,2077,1730,2379,817,693,862,716,937
Syrian Arab Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Tajikistan,226,132,150,...,...,-,-,-,...,...,6,5,-,...,...,2,-,-,...,...,58,18,61,...,...,17,11,9,...,...,22,14,9,...,...,42,19,21,...,...,3,9,8,...,...,33,27,42,...,...,10,12,-,...,...
Thailand,...,8142,...,...,...,...,464,...,...,...,...,202,...,...,...,...,275,...,...,...,...,2456,...,...,...,...,259,...,...,...,...,617,...,...,...,...,2371,...,...,...,...,407,...,...,...,...,644,...,...,...,...,447,...,...,...
The former Yugoslav Republic of Macedonia,885,892,791,738,733,7,24,36,39,29,12,13,10,17,7,7,31,25,9,8,365,400,347,325,345,14,14,15,19,25,23,40,29,26,27,72,49,25,36,46,58,39,47,40,47,248,245,197,197,174,79,37,60,30,25
Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Togo,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,1,...,...,...,...,1,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...
Tokelau,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Tonga,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Trinidad and Tobago,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Tunisia,563,720,...,...,1260,8,24,...,...,13,25,18,...,...,13,7,14,...,...,41,132,138,...,...,200,23,6,...,...,...,9,4,...,...,119,19,38,...,...,103,24,23,...,...,39,166,338,...,...,656,150,111,...,...,76
Turkey,6275,6546,5109,9313,2920,185,128,109,182,45,162,231,126,369,139,397,636,513,669,255,2053,1551,1557,2585,649,175,181,141,205,82,211,222,110,255,68,1106,764,1003,938,285,257,229,190,255,91,1224,2035,927,3014,1096,505,569,433,841,210
Turkmenistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Turks and Caicos Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Tuvalu,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Uganda,...,288,...,...,...,...,-,...,...,...,...,-,...,...,...,...,7,...,...,...,...,-,...,...,...,...,45,...,...,...,...,41,...,...,...,...,7,...,...,...,...,-,...,...,...,...,4,...,...,...,...,9,...,...,...
Ukraine,6225,...,7362,7065,6282,260,...,260,298,198,155,...,213,173,121,253,...,364,218,186,1471,...,2455,3231,2960,234,...,398,187,137,393,...,382,241,213,1592,...,1669,1225,1086,272,...,164,114,100,1227,...,1166,1034,1011,368,...,291,344,270
United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
United Kingdom of Great Britain and Northern Ireland,101764,107263,106444,110965,...,2096,2082,2047,2143,...,3168,3548,3357,3570,...,5575,5003,4968,5199,...,21632,23889,24009,24714,...,3264,3563,3213,4274,...,9364,9417,8973,8902,...,16205,16616,16761,17106,...,8938,9431,9898,10520,...,20029,21686,21222,22104,...,11493,12028,11996,12433,...
