"Indicator","Country","Year","WHO region","World Bank income group","Display Value","Numeric","Low","High","Comments"
"Population (in thousands) total","Afghanistan","2009","Eastern Mediterranean","","30578","30578.00000","","",""
"Population (in thousands) total","Afghanistan","2010","Eastern Mediterranean","","31412","31412.00000","","",""
"Population (in thousands) total","Albania","2007","Europe","","3170","3170.00000","","",""
"Population (in thousands) total","Albania","2008","Europe","","3181","3181.00000","","",""
"Population (in thousands) total","Albania","2009","Europe","","3193","3193.00000","","",""
"Population (in thousands) total","Albania","2010","Europe","","3204","3204.00000","","",""
"Population (in thousands) total","Algeria","2007","Africa","","33907","33907.00000","","",""
"Population (in thousands) total","Algeria","2008","Africa","","34428","34428.00000","","",""
"Population (in thousands) total","Algeria","2009","Africa","","34950","34950.00000","","",""
"Population (in thousands) total","Algeria","2010","Africa","","35468","35468.00000","","",""
"Population (in thousands) total","Andorra","2007","Europe","","81","81.00000","","",""
"Population (in thousands) total","Andorra","2008","Europe","","83","83.00000","","",""
"Population (in thousands) total","Andorra","2009","Europe","","84","84.00000","","",""
"Population (in thousands) total","Andorra","2010","Europe","","85","85.00000","","",""
"Population (in thousands) total","Angola","2007","Africa","","17525","17525.00000","","",""
"Population (in thousands) total","Angola","2008","Africa","","18038","18038.00000","","",""
"Population (in thousands) total","Angola","2009","Africa","","18555","18555.00000","","",""
"Population (in thousands) total","Angola","2010","Africa","","19082","19082.00000","","",""
"Population (in thousands) total","Antigua and Barbuda","2007","Americas","","86","86.00000","","",""
"Population (in thousands) total","Antigua and Barbuda","2008","Americas","","87","87.00000","","",""
"Population (in thousands) total","Antigua and Barbuda","2009","Americas","","88","88.00000","","",""
"Population (in thousands) total","Antigua and Barbuda","2010","Americas","","89","89.00000","","",""
"Population (in thousands) total","Argentina","2007","Americas","","39368","39368.00000","","",""
"Population (in thousands) total","Argentina","2008","Americas","","39714","39714.00000","","",""
"Population (in thousands) total","Argentina","2009","Americas","","40062","40062.00000","","",""
"Population (in thousands) total","Argentina","2010","Americas","","40412","40412.00000","","",""
"Population (in thousands) total","Armenia","2007","Europe","","3074","3074.00000","","",""
"Population (in thousands) total","Armenia","2008","Europe","","3079","3079.00000","","",""
"Population (in thousands) total","Armenia","2009","Europe","","3085","3085.00000","","",""
"Population (in thousands) total","Armenia","2010","Europe","","3092","3092.00000","","",""
"Population (in thousands) total","Australia","2007","Western Pacific","","21120","21120.00000","","",""
"Population (in thousands) total","Australia","2008","Western Pacific","","21514","21514.00000","","",""
"Population (in thousands) total","Australia","2009","Western Pacific","","21902","21902.00000","","",""
"Population (in thousands) total","Australia","2010","Western Pacific","","22268","22268.00000","","",""
"Population (in thousands) total","Austria","2007","Europe","","8310","8310.00000","","",""
"Population (in thousands) total","Austria","2008","Europe","","8342","8342.00000","","",""
"Population (in thousands) total","Austria","2009","Europe","","8370","8370.00000","","",""
"Population (in thousands) total","Austria","2010","Europe","","8394","8394.00000","","",""
"Population (in thousands) total","Azerbaijan","2007","Europe","","8821","8821.00000","","",""
"Population (in thousands) total","Azerbaijan","2008","Europe","","8944","8944.00000","","",""
"Population (in thousands) total","Azerbaijan","2009","Europe","","9067","9067.00000","","",""
"Population (in thousands) total","Azerbaijan","2010","Europe","","9188","9188.00000","","",""
"Population (in thousands) total","Bahamas","2007","Americas","","329","329.00000","","",""
"Population (in thousands) total","Bahamas","2008","Americas","","334","334.00000","","",""
"Population (in thousands) total","Bahamas","2009","Americas","","338","338.00000","","",""
"Population (in thousands) total","Bahamas","2010","Americas","","343","343.00000","","",""
"Population (in thousands) total","Bahrain","2007","Eastern Mediterranean","","926","926.00000","","",""
"Population (in thousands) total","Bahrain","2008","Eastern Mediterranean","","1052","1052.00000","","",""
"Population (in thousands) total","Bahrain","2009","Eastern Mediterranean","","1170","1170.00000","","",""
"Population (in thousands) total","Bahrain","2010","Eastern Mediterranean","","1262","1262.00000","","",""
"Population (in thousands) total","Bangladesh","2007","South-East Asia","","143957","143957.00000","","",""
"Population (in thousands) total","Bangladesh","2008","South-East Asia","","145478","145478.00000","","",""
"Population (in thousands) total","Bangladesh","2009","South-East Asia","","147030","147030.00000","","",""
"Population (in thousands) total","Bangladesh","2010","South-East Asia","","148692","148692.00000","","",""
"Population (in thousands) total","Barbados","2007","Americas","","272","272.00000","","",""
"Population (in thousands) total","Barbados","2008","Americas","","272","272.00000","","",""
"Population (in thousands) total","Barbados","2009","Americas","","273","273.00000","","",""
"Population (in thousands) total","Barbados","2010","Americas","","273","273.00000","","",""
"Population (in thousands) total","Belarus","2007","Europe","","9728","9728.00000","","",""
"Population (in thousands) total","Belarus","2008","Europe","","9681","9681.00000","","",""
"Population (in thousands) total","Belarus","2009","Europe","","9636","9636.00000","","",""
"Population (in thousands) total","Belarus","2010","Europe","","9595","9595.00000","","",""
"Population (in thousands) total","Belgium","2007","Europe","","10539","10539.00000","","",""
"Population (in thousands) total","Belgium","2008","Europe","","10602","10602.00000","","",""
"Population (in thousands) total","Belgium","2009","Europe","","10661","10661.00000","","",""
"Population (in thousands) total","Belgium","2010","Europe","","10712","10712.00000","","",""
"Population (in thousands) total","Belize","2007","Americas","","293","293.00000","","",""
"Population (in thousands) total","Belize","2008","Americas","","299","299.00000","","",""
"Population (in thousands) total","Belize","2009","Americas","","305","305.00000","","",""
"Population (in thousands) total","Belize","2010","Americas","","312","312.00000","","",""
"Population (in thousands) total","Benin","2007","Africa","","8113","8113.00000","","",""
"Population (in thousands) total","Benin","2008","Africa","","8356","8356.00000","","",""
"Population (in thousands) total","Benin","2009","Africa","","8602","8602.00000","","",""
"Population (in thousands) total","Benin","2010","Africa","","8850","8850.00000","","",""
"Population (in thousands) total","Bhutan","2007","South-East Asia","","689","689.00000","","",""
"Population (in thousands) total","Bhutan","2008","South-East Asia","","701","701.00000","","",""
"Population (in thousands) total","Bhutan","2009","South-East Asia","","714","714.00000","","",""
"Population (in thousands) total","Bhutan","2010","South-East Asia","","726","726.00000","","",""
"Population (in thousands) total","Bolivia (Plurinational State of)","2007","Americas","","9463","9463.00000","","",""
"Population (in thousands) total","Bolivia (Plurinational State of)","2008","Americas","","9618","9618.00000","","",""
"Population (in thousands) total","Bolivia (Plurinational State of)","2009","Americas","","9773","9773.00000","","",""
"Population (in thousands) total","Bolivia (Plurinational State of)","2010","Americas","","9930","9930.00000","","",""
"Population (in thousands) total","Bosnia and Herzegovina","2007","Europe","","3779","3779.00000","","",""
"Population (in thousands) total","Bosnia and Herzegovina","2008","Europe","","3774","3774.00000","","",""
"Population (in thousands) total","Bosnia and Herzegovina","2009","Europe","","3768","3768.00000","","",""
"Population (in thousands) total","Bosnia and Herzegovina","2010","Europe","","3760","3760.00000","","",""
"Population (in thousands) total","Botswana","2007","Africa","","1928","1928.00000","","",""
"Population (in thousands) total","Botswana","2008","Africa","","1955","1955.00000","","",""
"Population (in thousands) total","Botswana","2009","Africa","","1982","1982.00000","","",""
"Population (in thousands) total","Botswana","2010","Africa","","2007","2007.00000","","",""
"Population (in thousands) total","Brazil","2007","Americas","","189798","189798.00000","","",""
"Population (in thousands) total","Brazil","2008","Americas","","191543","191543.00000","","",""
"Population (in thousands) total","Brazil","2009","Americas","","193247","193247.00000","","",""
"Population (in thousands) total","Brazil","2010","Americas","","194946","194946.00000","","",""
"Population (in thousands) total","Brunei Darussalam","2007","Western Pacific","","378","378.00000","","",""
"Population (in thousands) total","Brunei Darussalam","2008","Western Pacific","","385","385.00000","","",""
"Population (in thousands) total","Brunei Darussalam","2009","Western Pacific","","392","392.00000","","",""
"Population (in thousands) total","Brunei Darussalam","2010","Western Pacific","","399","399.00000","","",""
"Population (in thousands) total","Bulgaria","2007","Europe","","7640","7640.00000","","",""
"Population (in thousands) total","Bulgaria","2008","Europe","","7591","7591.00000","","",""
"Population (in thousands) total","Bulgaria","2009","Europe","","7543","7543.00000","","",""
"Population (in thousands) total","Bulgaria","2010","Europe","","7494","7494.00000","","",""
"Population (in thousands) total","Burkina Faso","2007","Africa","","15061","15061.00000","","",""
"Population (in thousands) total","Burkina Faso","2008","Africa","","15515","15515.00000","","",""
"Population (in thousands) total","Burkina Faso","2009","Africa","","15984","15984.00000","","",""
"Population (in thousands) total","Burkina Faso","2010","Africa","","16469","16469.00000","","",""
"Population (in thousands) total","Burundi","2007","Africa","","7708","7708.00000","","",""
"Population (in thousands) total","Burundi","2008","Africa","","7943","7943.00000","","",""
"Population (in thousands) total","Burundi","2009","Africa","","8171","8171.00000","","",""
"Population (in thousands) total","Burundi","2010","Africa","","8383","8383.00000","","",""
"Population (in thousands) total","Cambodia","2007","Western Pacific","","13670","13670.00000","","",""
"Population (in thousands) total","Cambodia","2008","Western Pacific","","13823","13823.00000","","",""
"Population (in thousands) total","Cambodia","2009","Western Pacific","","13978","13978.00000","","",""
"Population (in thousands) total","Cambodia","2010","Western Pacific","","14138","14138.00000","","",""
"Population (in thousands) total","Cameroon","2007","Africa","","18350","18350.00000","","",""
"Population (in thousands) total","Cameroon","2008","Africa","","18759","18759.00000","","",""
"Population (in thousands) total","Cameroon","2009","Africa","","19175","19175.00000","","",""
"Population (in thousands) total","Cameroon","2010","Africa","","19599","19599.00000","","",""
"Population (in thousands) total","Canada","2007","Americas","","32977","32977.00000","","",""
"Population (in thousands) total","Canada","2008","Americas","","33328","33328.00000","","",""
"Population (in thousands) total","Canada","2009","Americas","","33675","33675.00000","","",""
"Population (in thousands) total","Canada","2010","Americas","","34017","34017.00000","","",""
"Population (in thousands) total","Cape Verde","2007","Africa","","483","483.00000","","",""
"Population (in thousands) total","Cape Verde","2008","Africa","","487","487.00000","","",""
"Population (in thousands) total","Cape Verde","2009","Africa","","492","492.00000","","",""
"Population (in thousands) total","Cape Verde","2010","Africa","","496","496.00000","","",""
"Population (in thousands) total","Central African Republic","2007","Africa","","4161","4161.00000","","",""
"Population (in thousands) total","Central African Republic","2008","Africa","","4238","4238.00000","","",""
"Population (in thousands) total","Central African Republic","2009","Africa","","4318","4318.00000","","",""
"Population (in thousands) total","Central African Republic","2010","Africa","","4401","4401.00000","","",""
"Population (in thousands) total","Chad","2007","Africa","","10372","10372.00000","","",""
"Population (in thousands) total","Chad","2008","Africa","","10654","10654.00000","","",""
"Population (in thousands) total","Chad","2009","Africa","","10937","10937.00000","","",""
"Population (in thousands) total","Chad","2010","Africa","","11227","11227.00000","","",""
"Population (in thousands) total","Chile","2007","Americas","","16633","16633.00000","","",""
"Population (in thousands) total","Chile","2008","Americas","","16796","16796.00000","","",""
"Population (in thousands) total","Chile","2009","Americas","","16956","16956.00000","","",""
"Population (in thousands) total","Chile","2010","Americas","","17114","17114.00000","","",""
"Population (in thousands) total","China","2007","Western Pacific","","1328860","1328860.00000","","",""
"Population (in thousands) total","China","2008","Western Pacific","","1335720","1335720.00000","","",""
"Population (in thousands) total","China","2009","Western Pacific","","1342428","1342428.00000","","",""
"Population (in thousands) total","China","2010","Western Pacific","","1348932","1348932.00000","","",""
"Population (in thousands) total","Colombia","2007","Americas","","44352","44352.00000","","",""
"Population (in thousands) total","Colombia","2008","Americas","","45006","45006.00000","","",""
"Population (in thousands) total","Colombia","2009","Americas","","45654","45654.00000","","",""
"Population (in thousands) total","Colombia","2010","Americas","","46295","46295.00000","","",""
"Population (in thousands) total","Comoros","2007","Africa","","679","679.00000","","",""
"Population (in thousands) total","Comoros","2008","Africa","","697","697.00000","","",""
"Population (in thousands) total","Comoros","2009","Africa","","716","716.00000","","",""
"Population (in thousands) total","Comoros","2010","Africa","","735","735.00000","","",""
"Population (in thousands) total","Congo","2007","Africa","","3731","3731.00000","","",""
"Population (in thousands) total","Congo","2008","Africa","","3836","3836.00000","","",""
"Population (in thousands) total","Congo","2009","Africa","","3941","3941.00000","","",""
"Population (in thousands) total","Congo","2010","Africa","","4043","4043.00000","","",""
"Population (in thousands) total","Cook Islands","2007","Western Pacific","","20","20.00000","","",""
"Population (in thousands) total","Cook Islands","2008","Western Pacific","","20","20.00000","","",""
"Population (in thousands) total","Cook Islands","2009","Western Pacific","","20","20.00000","","",""
"Population (in thousands) total","Cook Islands","2010","Western Pacific","","20","20.00000","","",""
"Population (in thousands) total","Costa Rica","2007","Americas","","4453","4453.00000","","",""
"Population (in thousands) total","Costa Rica","2008","Americas","","4522","4522.00000","","",""
"Population (in thousands) total","Costa Rica","2009","Americas","","4591","4591.00000","","",""
"Population (in thousands) total","Costa Rica","2010","Americas","","4659","4659.00000","","",""
"Population (in thousands) total","C?te d'Ivoire","2007","Africa","","18647","18647.00000","","",""
"Population (in thousands) total","C?te d'Ivoire","2008","Africa","","18987","18987.00000","","",""
"Population (in thousands) total","C?te d'Ivoire","2009","Africa","","19350","19350.00000","","",""
"Population (in thousands) total","C?te d'Ivoire","2010","Africa","","19738","19738.00000","","",""
"Population (in thousands) total","Croatia","2007","Europe","","4426","4426.00000","","",""
"Population (in thousands) total","Croatia","2008","Europe","","4418","4418.00000","","",""
"Population (in thousands) total","Croatia","2009","Europe","","4411","4411.00000","","",""
"Population (in thousands) total","Croatia","2010","Europe","","4403","4403.00000","","",""
"Population (in thousands) total","Cuba","2007","Americas","","11269","11269.00000","","",""
"Population (in thousands) total","Cuba","2008","Americas","","11267","11267.00000","","",""
"Population (in thousands) total","Cuba","2009","Americas","","11263","11263.00000","","",""
"Population (in thousands) total","Cuba","2010","Americas","","11258","11258.00000","","",""
"Population (in thousands) total","Cyprus","2007","Europe","","1063","1063.00000","","",""
"Population (in thousands) total","Cyprus","2008","Europe","","1077","1077.00000","","",""
"Population (in thousands) total","Cyprus","2009","Europe","","1090","1090.00000","","",""
"Population (in thousands) total","Cyprus","2010","Europe","","1104","1104.00000","","",""
"Population (in thousands) total","Czech Republic","2007","Europe","","10314","10314.00000","","",""
"Population (in thousands) total","Czech Republic","2008","Europe","","10377","10377.00000","","",""
"Population (in thousands) total","Czech Republic","2009","Europe","","10440","10440.00000","","",""
"Population (in thousands) total","Czech Republic","2010","Europe","","10493","10493.00000","","",""
"Population (in thousands) total","Democratic People's Republic of Korea","2007","South-East Asia","","24009","24009.00000","","",""
"Population (in thousands) total","Democratic People's Republic of Korea","2008","South-East Asia","","24126","24126.00000","","",""
"Population (in thousands) total","Democratic People's Republic of Korea","2009","South-East Asia","","24238","24238.00000","","",""
"Population (in thousands) total","Democratic People's Republic of Korea","2010","South-East Asia","","24346","24346.00000","","",""
"Population (in thousands) total","Democratic Republic of the Congo","2007","Africa","","60772","60772.00000","","",""
"Population (in thousands) total","Democratic Republic of the Congo","2008","Africa","","62475","62475.00000","","",""
"Population (in thousands) total","Democratic Republic of the Congo","2009","Africa","","64204","64204.00000","","",""
"Population (in thousands) total","Democratic Republic of the Congo","2010","Africa","","65966","65966.00000","","",""
"Population (in thousands) total","Denmark","2007","Europe","","5469","5469.00000","","",""
"Population (in thousands) total","Denmark","2008","Europe","","5497","5497.00000","","",""
"Population (in thousands) total","Denmark","2009","Europe","","5525","5525.00000","","",""
"Population (in thousands) total","Denmark","2010","Europe","","5550","5550.00000","","",""
"Population (in thousands) total","Djibouti","2007","Eastern Mediterranean","","839","839.00000","","",""
"Population (in thousands) total","Djibouti","2008","Eastern Mediterranean","","856","856.00000","","",""
"Population (in thousands) total","Djibouti","2009","Eastern Mediterranean","","872","872.00000","","",""
"Population (in thousands) total","Djibouti","2010","Eastern Mediterranean","","889","889.00000","","",""
"Population (in thousands) total","Dominica","2007","Americas","","68","68.00000","","",""
"Population (in thousands) total","Dominica","2008","Americas","","68","68.00000","","",""
"Population (in thousands) total","Dominica","2009","Americas","","68","68.00000","","",""
"Population (in thousands) total","Dominica","2010","Americas","","68","68.00000","","",""
"Population (in thousands) total","Dominican Republic","2007","Americas","","9532","9532.00000","","",""
"Population (in thousands) total","Dominican Republic","2008","Americas","","9665","9665.00000","","",""
"Population (in thousands) total","Dominican Republic","2009","Americas","","9797","9797.00000","","",""
"Population (in thousands) total","Dominican Republic","2010","Americas","","9927","9927.00000","","",""
"Population (in thousands) total","Ecuador","2007","Americas","","13850","13850.00000","","",""
"Population (in thousands) total","Ecuador","2008","Americas","","14057","14057.00000","","",""
"Population (in thousands) total","Ecuador","2009","Americas","","14262","14262.00000","","",""
"Population (in thousands) total","Ecuador","2010","Americas","","14465","14465.00000","","",""
"Population (in thousands) total","Egypt","2007","Eastern Mediterranean","","76942","76942.00000","","",""
"Population (in thousands) total","Egypt","2008","Eastern Mediterranean","","78323","78323.00000","","",""
"Population (in thousands) total","Egypt","2009","Eastern Mediterranean","","79716","79716.00000","","",""
"Population (in thousands) total","Egypt","2010","Eastern Mediterranean","","81121","81121.00000","","",""
"Population (in thousands) total","El Salvador","2007","Americas","","6101","6101.00000","","",""
"Population (in thousands) total","El Salvador","2008","Americas","","6130","6130.00000","","",""
"Population (in thousands) total","El Salvador","2009","Americas","","6160","6160.00000","","",""
"Population (in thousands) total","El Salvador","2010","Americas","","6193","6193.00000","","",""
"Population (in thousands) total","Equatorial Guinea","2007","Africa","","644","644.00000","","",""
"Population (in thousands) total","Equatorial Guinea","2008","Africa","","662","662.00000","","",""
"Population (in thousands) total","Equatorial Guinea","2009","Africa","","681","681.00000","","",""
"Population (in thousands) total","Equatorial Guinea","2010","Africa","","700","700.00000","","",""
"Population (in thousands) total","Eritrea","2007","Africa","","4799","4799.00000","","",""
"Population (in thousands) total","Eritrea","2008","Africa","","4948","4948.00000","","",""
"Population (in thousands) total","Eritrea","2009","Africa","","5098","5098.00000","","",""
"Population (in thousands) total","Eritrea","2010","Africa","","5254","5254.00000","","",""
"Population (in thousands) total","Estonia","2007","Europe","","1343","1343.00000","","",""
"Population (in thousands) total","Estonia","2008","Europe","","1342","1342.00000","","",""
"Population (in thousands) total","Estonia","2009","Europe","","1342","1342.00000","","",""
"Population (in thousands) total","Estonia","2010","Europe","","1341","1341.00000","","",""
"Population (in thousands) total","Ethiopia","2007","Africa","","77718","77718.00000","","",""
"Population (in thousands) total","Ethiopia","2008","Africa","","79446","79446.00000","","",""
"Population (in thousands) total","Ethiopia","2009","Africa","","81188","81188.00000","","",""
"Population (in thousands) total","Ethiopia","2010","Africa","","82950","82950.00000","","",""
"Population (in thousands) total","Fiji","2007","Western Pacific","","835","835.00000","","",""
"Population (in thousands) total","Fiji","2008","Western Pacific","","844","844.00000","","",""
"Population (in thousands) total","Fiji","2009","Western Pacific","","852","852.00000","","",""
"Population (in thousands) total","Fiji","2010","Western Pacific","","861","861.00000","","",""
"Population (in thousands) total","Finland","2007","Europe","","5290","5290.00000","","",""
"Population (in thousands) total","Finland","2008","Europe","","5316","5316.00000","","",""
"Population (in thousands) total","Finland","2009","Europe","","5342","5342.00000","","",""
"Population (in thousands) total","Finland","2010","Europe","","5365","5365.00000","","",""
"Population (in thousands) total","France","2007","Europe","","61745","61745.00000","","",""
"Population (in thousands) total","France","2008","Europe","","62098","62098.00000","","",""
"Population (in thousands) total","France","2009","Europe","","62445","62445.00000","","",""
"Population (in thousands) total","France","2010","Europe","","62787","62787.00000","","",""
"Population (in thousands) total","Gabon","2007","Africa","","1424","1424.00000","","",""
"Population (in thousands) total","Gabon","2008","Africa","","1450","1450.00000","","",""
"Population (in thousands) total","Gabon","2009","Africa","","1478","1478.00000","","",""
"Population (in thousands) total","Gabon","2010","Africa","","1505","1505.00000","","",""
"Population (in thousands) total","Gambia","2007","Africa","","1591","1591.00000","","",""
"Population (in thousands) total","Gambia","2008","Africa","","1636","1636.00000","","",""
"Population (in thousands) total","Gambia","2009","Africa","","1682","1682.00000","","",""
"Population (in thousands) total","Gambia","2010","Africa","","1728","1728.00000","","",""
"Population (in thousands) total","Georgia","2007","Europe","","4416","4416.00000","","",""
"Population (in thousands) total","Georgia","2008","Europe","","4394","4394.00000","","",""
"Population (in thousands) total","Georgia","2009","Europe","","4374","4374.00000","","",""
"Population (in thousands) total","Georgia","2010","Europe","","4352","4352.00000","","",""
"Population (in thousands) total","Germany","2007","Europe","","82516","82516.00000","","",""
"Population (in thousands) total","Germany","2008","Europe","","82475","82475.00000","","",""
"Population (in thousands) total","Germany","2009","Europe","","82405","82405.00000","","",""
"Population (in thousands) total","Germany","2010","Europe","","82302","82302.00000","","",""
"Population (in thousands) total","Ghana","2007","Africa","","22712","22712.00000","","",""
"Population (in thousands) total","Ghana","2008","Africa","","23264","23264.00000","","",""
"Population (in thousands) total","Ghana","2009","Africa","","23824","23824.00000","","",""
"Population (in thousands) total","Ghana","2010","Africa","","24392","24392.00000","","",""
"Population (in thousands) total","Greece","2007","Europe","","11256","11256.00000","","",""
"Population (in thousands) total","Greece","2008","Europe","","11292","11292.00000","","",""
"Population (in thousands) total","Greece","2009","Europe","","11327","11327.00000","","",""
"Population (in thousands) total","Greece","2010","Europe","","11359","11359.00000","","",""
"Population (in thousands) total","Grenada","2007","Americas","","103","103.00000","","",""
"Population (in thousands) total","Grenada","2008","Americas","","104","104.00000","","",""
"Population (in thousands) total","Grenada","2009","Americas","","104","104.00000","","",""
"Population (in thousands) total","Grenada","2010","Americas","","104","104.00000","","",""
"Population (in thousands) total","Guatemala","2007","Americas","","13359","13359.00000","","",""
"Population (in thousands) total","Guatemala","2008","Americas","","13691","13691.00000","","",""
"Population (in thousands) total","Guatemala","2009","Americas","","14034","14034.00000","","",""
"Population (in thousands) total","Guatemala","2010","Americas","","14389","14389.00000","","",""
"Population (in thousands) total","Guinea","2007","Africa","","9374","9374.00000","","",""
"Population (in thousands) total","Guinea","2008","Africa","","9559","9559.00000","","",""
"Population (in thousands) total","Guinea","2009","Africa","","9761","9761.00000","","",""
"Population (in thousands) total","Guinea","2010","Africa","","9982","9982.00000","","",""
"Population (in thousands) total","Guinea-Bissau","2007","Africa","","1424","1424.00000","","",""
"Population (in thousands) total","Guinea-Bissau","2008","Africa","","1454","1454.00000","","",""
"Population (in thousands) total","Guinea-Bissau","2009","Africa","","1484","1484.00000","","",""
"Population (in thousands) total","Guinea-Bissau","2010","Africa","","1515","1515.00000","","",""
"Population (in thousands) total","Guyana","2007","Americas","","750","750.00000","","",""
"Population (in thousands) total","Guyana","2008","Americas","","752","752.00000","","",""
"Population (in thousands) total","Guyana","2009","Americas","","753","753.00000","","",""
"Population (in thousands) total","Guyana","2010","Americas","","754","754.00000","","",""
"Population (in thousands) total","Haiti","2007","Americas","","9608","9608.00000","","",""
"Population (in thousands) total","Haiti","2008","Americas","","9736","9736.00000","","",""
"Population (in thousands) total","Haiti","2009","Americas","","9864","9864.00000","","",""
"Population (in thousands) total","Haiti","2010","Americas","","9993","9993.00000","","",""
"Population (in thousands) total","Honduras","2007","Americas","","7159","7159.00000","","",""
"Population (in thousands) total","Honduras","2008","Americas","","7303","7303.00000","","",""
"Population (in thousands) total","Honduras","2009","Americas","","7450","7450.00000","","",""
"Population (in thousands) total","Honduras","2010","Americas","","7601","7601.00000","","",""
"Population (in thousands) total","Hungary","2007","Europe","","10043","10043.00000","","",""
"Population (in thousands) total","Hungary","2008","Europe","","10022","10022.00000","","",""
"Population (in thousands) total","Hungary","2009","Europe","","10002","10002.00000","","",""
"Population (in thousands) total","Hungary","2010","Europe","","9984","9984.00000","","",""
"Population (in thousands) total","Iceland","2007","Europe","","306","306.00000","","",""
"Population (in thousands) total","Iceland","2008","Europe","","311","311.00000","","",""
"Population (in thousands) total","Iceland","2009","Europe","","316","316.00000","","",""
"Population (in thousands) total","Iceland","2010","Europe","","320","320.00000","","",""
"Population (in thousands) total","India","2007","South-East Asia","","1173972","1173972.00000","","",""
"Population (in thousands) total","India","2008","South-East Asia","","1190864","1190864.00000","","",""
"Population (in thousands) total","India","2009","South-East Asia","","1207740","1207740.00000","","",""
"Population (in thousands) total","India","2010","South-East Asia","","1224614","1224614.00000","","",""
"Population (in thousands) total","Indonesia","2007","South-East Asia","","232462","232462.00000","","",""
"Population (in thousands) total","Indonesia","2008","South-East Asia","","234951","234951.00000","","",""
"Population (in thousands) total","Indonesia","2009","South-East Asia","","237414","237414.00000","","",""
"Population (in thousands) total","Indonesia","2010","South-East Asia","","239871","239871.00000","","",""
"Population (in thousands) total","Iran (Islamic Republic of)","2007","Eastern Mediterranean","","71435","71435.00000","","",""
"Population (in thousands) total","Iran (Islamic Republic of)","2008","Eastern Mediterranean","","72289","72289.00000","","",""
"Population (in thousands) total","Iran (Islamic Republic of)","2009","Eastern Mediterranean","","73137","73137.00000","","",""
"Population (in thousands) total","Iran (Islamic Republic of)","2010","Eastern Mediterranean","","73974","73974.00000","","",""
"Population (in thousands) total","Iraq","2007","Eastern Mediterranean","","28961","28961.00000","","",""
"Population (in thousands) total","Iraq","2008","Eastern Mediterranean","","29821","29821.00000","","",""
"Population (in thousands) total","Iraq","2009","Eastern Mediterranean","","30725","30725.00000","","",""
"Population (in thousands) total","Iraq","2010","Eastern Mediterranean","","31672","31672.00000","","",""
"Population (in thousands) total","Ireland","2007","Europe","","4291","4291.00000","","",""
"Population (in thousands) total","Ireland","2008","Europe","","4353","4353.00000","","",""
"Population (in thousands) total","Ireland","2009","Europe","","4412","4412.00000","","",""
"Population (in thousands) total","Ireland","2010","Europe","","4470","4470.00000","","",""
"Population (in thousands) total","Israel","2007","Europe","","6920","6920.00000","","",""
"Population (in thousands) total","Israel","2008","Europe","","7092","7092.00000","","",""
"Population (in thousands) total","Israel","2009","Europe","","7261","7261.00000","","",""
"Population (in thousands) total","Israel","2010","Europe","","7418","7418.00000","","",""
"Population (in thousands) total","Italy","2007","Europe","","59495","59495.00000","","",""
"Population (in thousands) total","Italy","2008","Europe","","59891","59891.00000","","",""
"Population (in thousands) total","Italy","2009","Europe","","60249","60249.00000","","",""
"Population (in thousands) total","Italy","2010","Europe","","60551","60551.00000","","",""
"Population (in thousands) total","Jamaica","2007","Americas","","2709","2709.00000","","",""
"Population (in thousands) total","Jamaica","2008","Americas","","2720","2720.00000","","",""
"Population (in thousands) total","Jamaica","2009","Americas","","2731","2731.00000","","",""
"Population (in thousands) total","Jamaica","2010","Americas","","2741","2741.00000","","",""
"Population (in thousands) total","Japan","2007","Western Pacific","","126515","126515.00000","","",""
"Population (in thousands) total","Japan","2008","Western Pacific","","126545","126545.00000","","",""
"Population (in thousands) total","Japan","2009","Western Pacific","","126552","126552.00000","","",""
"Population (in thousands) total","Japan","2010","Western Pacific","","126536","126536.00000","","",""
"Population (in thousands) total","Jordan","2007","Eastern Mediterranean","","5667","5667.00000","","",""
"Population (in thousands) total","Jordan","2008","Eastern Mediterranean","","5849","5849.00000","","",""
"Population (in thousands) total","Jordan","2009","Eastern Mediterranean","","6026","6026.00000","","",""
"Population (in thousands) total","Jordan","2010","Eastern Mediterranean","","6187","6187.00000","","",""
"Population (in thousands) total","Kazakhstan","2007","Europe","","15476","15476.00000","","",""
"Population (in thousands) total","Kazakhstan","2008","Europe","","15655","15655.00000","","",""
"Population (in thousands) total","Kazakhstan","2009","Europe","","15841","15841.00000","","",""
"Population (in thousands) total","Kazakhstan","2010","Europe","","16026","16026.00000","","",""
"Population (in thousands) total","Kenya","2007","Africa","","37485","37485.00000","","",""
"Population (in thousands) total","Kenya","2008","Africa","","38455","38455.00000","","",""
"Population (in thousands) total","Kenya","2009","Africa","","39462","39462.00000","","",""
"Population (in thousands) total","Kenya","2010","Africa","","40513","40513.00000","","",""
"Population (in thousands) total","Kiribati","2007","Western Pacific","","95","95.00000","","",""
"Population (in thousands) total","Kiribati","2008","Western Pacific","","97","97.00000","","",""
"Population (in thousands) total","Kiribati","2009","Western Pacific","","98","98.00000","","",""
"Population (in thousands) total","Kiribati","2010","Western Pacific","","99","99.00000","","",""
"Population (in thousands) total","Kuwait","2007","Eastern Mediterranean","","2448","2448.00000","","",""
"Population (in thousands) total","Kuwait","2008","Eastern Mediterranean","","2548","2548.00000","","",""
"Population (in thousands) total","Kuwait","2009","Eastern Mediterranean","","2646","2646.00000","","",""
